Movie Number,Title,Type,Run Time,Year,Rating,Imdb
306,McLintock,WE,126,,,
307,Stepmom,DR,125,,,
308,The Horse Whisperer,DR,169,,,
309,The Full Monty,CO,95,,,
310,The In-Laws,CO,98,,,
311,The Replacements,CO,118,,,
312,The General's Daughter,TH,116,,,
313,First Knight,DR,133,,,
314,Schindler's List,DR,196,,,
315,Cradle 2 The Grave,AC,101,,,
316,Last AC Hero,AC,130,,,
317,Dreamcatcher,TH,134,,,
318,Waterworld,AC,136,,,
319,Flatliners,TH,114,,,
320,Coyote Ugly,CO,101,,,
321,Dark Blue,DR,118,,,
322,The Core,AC,134,,,
323,Exit Wounds,AC,101,,,
324,The Bone Collector,TH,118,,,
325,The Last Samurai,AC,154,,,
326,Basic,AC,99,,,
327,Half Past Dead,AC,98,,,
328,Calendar Girls,CO,108,,,
329,X2 - X-Men United,AC,134,,,
330,The Rundown,AC,115,,,
331,The Recruit,TH,115,,,
332,Hollywood Homocide,AC,116,,,
333,Seabiscuit,DR,141,,,
334,Gangs Of New York,DR,167,,,
335,The Hunted,TH,94,,,
336,Something's Gotta Give,CO,128,,,
337,Mystic River,TH,138,,,
338,Radio,DR,109,,,
339,Charlie's Angels - Full Throttle,AC,107,,,
340,Lost In Translation,DR CO,102,,,
341,Out Of Time,TH,105,,,
342,What Women Want,CO,126,,,
343,Big Fish,DR,125,,,
344,Bad Boys,AC,119,,,
345,Bad Boys ll,AC,147,,,
346,A Man Apart,AC,105,,,
347,Hidalgo,AC,136,,,
348,Kill Bill - Volume 1,AC,111,,,
349,Kill Bill - Volume 2,AC,137,,,
350,Pirates of the Carribean At Worlds End,AC,169,,,
351,John Wayne - Screen Legend,WE,543,,,
352,Flashback,CO,107,,,
353,Secondhand Lions,CO,110,,,
354,Confessions Of A Dangerous Mind,CO TH,114,,,
355,Love Actually,CO,135,,,
356,Barbershop,CO,102,,,
357,Stealing Home,DR,98,,,
358,The Santa Clause,CO,97,,,
359,What's Eating Gilbert Grape,DR CO,117,,,
360,Music From Another Room,DR,104,,,
361,Bagdad Caf‚,DR,92,,,
362,House - Season 3,DR,1050,,,
363,Good Will Hunting,DR,126,,,
364,Name of the Rose,DR,131,,,
365,Once Upon A Time In Mexico,AC,102,,,
366,El Mariachi,AC,81,,,
367,Desperado,AC,103,,,
368,The Ladykillers,CO,104,,,
369,The Matrix Reloaded,SF,138,,,
370,Mona Lisa Smile,CO,120,,,
371,Walking Tall,AC,86,,,
372,SWAT,AC,117,,,
373,The Punisher,AC,123,,,
374,Shrek the Third,AN,92,,,
375,The Italian Job,AC,110,,,
376,Shrek 2,AN,92,,,
377,Uptown Girls,CO,92,,,
378,Collateral,TH,120,,,
379,Pirates Of The Caribbean -Curse Of The Black Pearl,AC,143,,,
380,Brother Bear,AN,85,,,
381,Master And Commander,AC,138,,,
382,Chicago,MU,113,,,
383,Empire Falls,DR,195,,,
384,Bruce Almighty,CO,102,,,
385,Miracle,AC,136,,,
386,Bringing Down The House,CO,105,,,
387,Oceans Thirteen,AC,122,,,
388,Welcome To Mooseport,CO,115,,,
389,The Whole Ten Yards,CO,99,,,
390,The Day After Tomorrow,AC,123,,,
